image,blur_level,retained_ucas
WetSunset3.png,0,15
WetSunset3.png,5,9
WetSunset3.png,10,18
WetSunset3.png,15,9
WetSunset3.png,20,12
WetSunset3.png,25,17
WetSunset3.png,30,12
WetSunset3.png,35,11
WetSunset3.png,40,15
WetSunset3.png,45,15
WetSunset3.png,50,7
WetSunset3.png,55,6
WetSunset3.png,60,13
WetSunset3.png,65,12
WetSunset3.png,70,7
WetSunset3.png,75,11
WetSunset3.png,80,10
WetSunset3.png,85,15
WetSunset3.png,90,13
WetSunset3.png,95,15
WetSunset3.png,100,7
ClearNoon2.png,0,17
ClearNoon2.png,5,23
ClearNoon2.png,10,15
ClearNoon2.png,15,19
ClearNoon2.png,20,16
ClearNoon2.png,25,16
ClearNoon2.png,30,16
ClearNoon2.png,35,16
ClearNoon2.png,40,12
ClearNoon2.png,45,11
ClearNoon2.png,50,17
ClearNoon2.png,55,15
ClearNoon2.png,60,16
ClearNoon2.png,65,17
ClearNoon2.png,70,11
ClearNoon2.png,75,11
ClearNoon2.png,80,12
ClearNoon2.png,85,12
ClearNoon2.png,90,10
ClearNoon2.png,95,12
ClearNoon2.png,100,0
bike7.jpg,0,13
bike7.jpg,5,3
bike7.jpg,10,9
bike7.jpg,15,12
bike7.jpg,20,9
bike7.jpg,25,7
bike7.jpg,30,13
bike7.jpg,35,13
bike7.jpg,40,16
bike7.jpg,45,14
bike7.jpg,50,12
bike7.jpg,55,12
bike7.jpg,60,6
bike7.jpg,65,8
bike7.jpg,70,10
bike7.jpg,75,9
bike7.jpg,80,5
bike7.jpg,85,11
bike7.jpg,90,0
bike7.jpg,95,16
bike7.jpg,100,0
person2.jpg,0,20
person2.jpg,5,10
person2.jpg,10,19
person2.jpg,15,22
person2.jpg,20,21
person2.jpg,25,15
person2.jpg,30,17
person2.jpg,35,16
person2.jpg,40,15
person2.jpg,45,11
person2.jpg,50,8
person2.jpg,55,9
person2.jpg,60,6
person2.jpg,65,24
person2.jpg,70,15
person2.jpg,75,27
person2.jpg,80,10
person2.jpg,85,19
person2.jpg,90,15
person2.jpg,95,13
person2.jpg,100,14
bike6.jpg,0,8
bike6.jpg,5,6
bike6.jpg,10,9
bike6.jpg,15,2
