file,cosine_similarity,classification
MidRainSunset1,0.5512816738525087,Inaccurate
motobike6,0.6464912940191836,Accurate
trafficlight2,0.6075016086158938,Accurate
WetCloudySunset0,0.595048277538916,Inaccurate
trafficlight1,0.602750835848598,Accurate
WetNoon0,0.6052592955951479,Accurate
person0,0.6248506997041343,Accurate
trafficsign2,0.6341110315337923,Accurate
bike1,0.6217379069361522,Accurate
MidRainSunset0,0.6304418366659357,Accurate
trafficlight0,0.628380978590019,Accurate
MidRainyNoon2,0.6320561086454897,Accurate
MidRainyNoon0,0.6523057839887006,Accurate
motobike0,0.6067404386218664,Accurate
SoftRainSunset1,0.6108347414876123,Accurate
WetCloudySunset1,0.6497906993831903,Accurate
CloudyNoon0,0.6108891290486419,Accurate
SoftRainNoon0,0.6132092633532205,Accurate
motobike2,0.6851888976342659,Accurate
WetCloudyNoon2,0.6371266617416443,Accurate
CloudySunset1,0.5797043708921875,Inaccurate
trafficsign1,0.6198722251568951,Accurate
WetCloudySunset3,0.5742392474872091,Inaccurate
ClearNoon1,0.6298858717432738,Accurate
trafficsign3,0.6017285836542956,Accurate
trafficlight3,0.6274392908461393,Accurate
motobike4,0.5456696171929405,Inaccurate
person1,0.5770189327703552,Inaccurate
HardRainSunset1,0.6623841530907677,Accurate
HardRainSunset2,0.6137158393898746,Accurate
SoftRainSunset0,0.6374986644891696,Accurate
MidRainSunset2,0.569299738801508,Inaccurate
CloudySunset2,0.6231109305644489,Accurate
bike0,0.615660734206904,Accurate
motobike3,0.6157087030708145,Accurate
HardRainNoon2,0.6649504804567636,Accurate
WetCloudyNoon0,0.6820985051856727,Accurate
SoftRainSunset3,0.6415992648668507,Accurate
motobike5,0.5897371080380326,Inaccurate
trafficsign0,0.618054304307234,Accurate
CloudyNoon1,0.5768683573631369,Inaccurate
CloudySunset0,0.5910463092107581,Inaccurate
SoftRainNoon1,0.6489507570747193,Accurate
WetNoon2,0.6102361853808189,Accurate
MidRainSunset3,0.6484005057441341,Accurate
HardRainSunset0,0.6314697134703009,Accurate
WetCloudySunset2,0.6290330479466857,Accurate
WetCloudySunset4,0.6211276324272259,Accurate
WetCloudyNoon4,0.569975997120224,Inaccurate
CloudyNoon2,0.5876891437355769,Inaccurate
WetCloudyNoon3,0.6684694739189745,Accurate
WetNoon1,0.63650885831005,Accurate
SoftRainNoon3,0.6630436156266643,Accurate
WetSunset1,0.6486804862608103,Accurate
SoftRainSunset4,0.5953675308220818,Inaccurate
HardRainNoon1,0.6526293601896509,Accurate
SoftRainNoon4,0.6172153739749662,Accurate
bike4,0.6409380747856995,Accurate
WetSunset3,0.5963483650564232,Inaccurate
bike2,0.6771765016937525,Accurate
MidRainyNoon1,0.6309996942412829,Accurate
bike6,0.6250549908577987,Accurate
bike5,0.6450164384274366,Accurate
HardRainNoon0,0.6736816762179318,Accurate
bike7,0.6313049190224072,Accurate
ClearNoon2,0.6099525794435212,Accurate
ClearSunset1,0.5869337404871495,Inaccurate
person2,0.5904213058962454,Inaccurate
WetSunset0,0.5998890592734907,Inaccurate
motobike1,0.6307777256334095,Accurate
WetCloudyNoon1,0.6461445992739767,Accurate
WetSunset2,0.6431161374667789,Accurate
trafficlight4,0.5868776819888973,Inaccurate
ClearSunset2,0.5840357193903937,Inaccurate
trafficlight5,0.5833448108994799,Inaccurate
ClearNoon0,0.6131887349628393,Accurate
WetSunset4,0.6344974005591633,Accurate
ClearSunset0,0.569977649500523,Inaccurate
SoftRainSunset2,0.6377243751374432,Accurate
bike3,0.670982460749142,Accurate
SoftRainNoon2,0.5945433493556374,Inaccurate
